band_digits,family,sample_index,seed,probable_prime_reps,exponent_vector,factor_digit_lengths,d_value,n_digits,n_bits,n_log10,leading16,trailing16,z_sci,neg_log10_z,status
22,squarefree_3,1,1729,64,"1,1,1","8,8,7",8,22,72,21.408035443923861354927618,2558794708403093,4708403093871421,5.968891275802674584140911e-65,64.224106331771584064782853,ok
22,squarefree_3,2,1729,64,"1,1,1","8,8,7",8,22,73,21.803827070405393193554309,6365420088911945,0088911945532217,3.877205220126869586474631e-66,65.411481211216179580662928,ok
22,squarefree_3,3,1729,64,"1,1,1","8,8,7",8,22,71,21.286480343548447515563688,1934106317724606,6317724606526687,1.382162065830749632586195e-64,63.859441030645342546691065,ok
22,squarefree_6,0,1729,64,"1,1,1,1,1,1","4,4,4,4,4,4",64,22,73,21.885252535883238863796412,7678078285911451,8285911451081031,3.607209679035811629193894e-679,678.442828612380404777688768,ok
22,squarefree_6,1,1729,64,"1,1,1,1,1,1","4,4,4,4,4,4",64,22,73,21.712677244307338523175809,5160327254298778,7254298778895461,8.072451166446976649412804e-674,673.092994573527494218450086,ok
22,squarefree_6,2,1729,64,"1,1,1,1,1,1","4,4,4,4,4,4",64,22,73,21.884433307674617530411929,7663608451110757,8451110757377047,3.824436567693307396036223e-679,678.417432537913143442769812,ok
22,squarefree_6,3,1729,64,"1,1,1,1,1,1","4,4,4,4,4,4",64,22,72,21.503011885982985609617002,3184284669587909,4669587909205449,2.550536450382678194760021e-667,666.593368465472553898127054,ok
22,smooth_4321,0,1729,64,"4,3,2,1","2,2,3,6",120,22,71,21.079889240009712865757725,1201957855041683,7855041683091349,1.934349027315619498340819e-1244,1243.713465160573059079705794,ok
22,smooth_4321,1,1729,64,"4,3,2,1","2,2,3,3",120,22,73,21.947167903050029844592666,8854578714718388,8714718388065553,1.309464472831160160058091e-1295,1294.882906279951760830967314,ok
22,smooth_4321,2,1729,64,"4,3,2,1","2,2,3,6",120,22,72,21.505980473030326888182983,3206125165832098,5165832098446323,1.403305060098057894317739e-1269,1268.852847908789286402796007,ok
22,smooth_4321,3,1729,64,"4,3,2,1","2,2,3,6",120,22,72,21.577664309741147889777851,3781501785060200,1785060200353087,8.275718797827836937846804e-1274,1273.082194274727725496893223,ok
23,probable_prime,0,1729,64,"1","23",2,23,75,22.476916411323123830777542,2998585325601700,3256017007776853,1,0.000000000000000000000000,ok
23,probable_prime,1,1729,64,"1","23",2,23,76,22.596408388288583052962518,3948284039754594,0397545949084761,1,0.000000000000000000000000,ok
23,probable_prime,2,1729,64,"1","23",2,23,76,22.712095018736674079676914,5153413831333354,8313333546268477,1,0.000000000000000000000000,ok
23,probable_prime,3,1729,64,"1","23",2,23,77,22.956437901148180897656068,9045610872088800,8720888000863519,1,0.000000000000000000000000,ok
23,semiprime_balanced,0,1729,64,"1,1","12,12",4,23,77,22.984566029251609315086652,9650860303732773,3037327732761541,1.036177054198182309480218e-23,22.984566029251609315086652,ok
23,semiprime_balanced,1,1729,64,"1,1","12,12",4,23,76,22.743731619573718221929568,5542830774688446,7746884461883749,1.804132293857029090487990e-23,22.743731619573718221929568,ok
23,semiprime_balanced,2,1729,64,"1,1","12,12",4,23,77,22.941518044474553488690195,8740133061609605,0616096056306399,1.144147340722336096573301e-23,22.941518044474553488690195,ok
23,semiprime_balanced,3,1729,64,"1,1","12,12",4,23,77,22.896375937733303230391566,7877273740132664,7401326644460151,1.269474735789946768746704e-23,22.896375937733303230391566,ok
23,prime_square,0,1729,64,"2","12",3,23,76,22.586531330015368188147473,3859502530519003,5305190031309641,5.090194003437581209462560e-12,11.293265665007684094073737,ok
23,prime_square,1,1729,64,"2","12",3,23,75,22.575513905391776534114443,3762824000156508,0001565081054729,5.155170663441387108744739e-12,11.287756952695888267057222,ok
23,prime_square,2,1729,64,"2","12",3,23,76,22.669930142803169028970010,4676599111393675,1113936759517329,4.624182103831300734575188e-12,11.334965071401584514485005,ok
23,prime_square,3,1729,64,"2","12",3,23,75,22.374912587608545686061092,2370896456707674,4567076747192081,6.494469868364436012932204e-12,11.187456293804272843030546,ok
23,prime_cube,0,1729,64,"3","8",4,23,77,22.956374483843899213427895,9044290094598186,0945981860185519,1.105669974691836071043069e-23,22.956374483843899213427895,ok
23,prime_cube,1,1729,64,"3","8",4,23,76,22.661452431593186785522527,4586194103234700,1032347000014173,2.180457210249098497361217e-23,22.661452431593186785522527,ok
23,prime_cube,2,1729,64,"3","8",4,23,75,22.339410787656967528816383,2184795475028139,4750281390197557,4.577087473083129323659619e-23,22.339410787656967528816383,ok
23,prime_cube,3,1729,64,"3","8",4,23,76,22.810293289271676034916059,6460904017738329,0177383299920587,1.547771019743541600315352e-23,22.810293289271676034916059,ok
23,squarefree_3,0,1729,64,"1,1,1","8,8,8",8,23,77,22.989654321024042268712119,9764596933321028,9333210281134231,1.074081006792068887885126e-69,68.968962963072126806136356,ok
23,squarefree_3,1,1729,64,"1,1,1","8,8,8",8,23,76,22.685772009408052408237347,4850338062146402,0621464020848207,8.763628756780041708782062e-69,68.057316028224157224712042,ok
23,squarefree_3,2,1729,64,"1,1,1","8,8,8",8,23,76,22.825925697474656628358467,6697700100775740,1007757407919419,3.328303391797670560894361e-69,68.477777092423969885075401,ok
23,squarefree_3,3,1729,64,"1,1,1","8,8,8",8,23,76,22.756027541339355435761082,5702004311229428,3112294282192493,5.394079910122397512469663e-69,68.268082624018066307283246,ok
23,squarefree_6,0,1729,64,"1,1,1,1,1,1","4,4,4,4,4,4",64,23,77,22.984372776201432047039700,9646566803880736,8038807366157977,3.051012154393173024687781e-713,712.515556062244393458230706,ok
23,squarefree_6,1,1729,64,"1,1,1,1,1,1","4,4,4,4,4,4",64,23,74,22.238430216260150418916557,1731530780836779,7808367799715907,4.061283399338134668265622e-690,689.391336704064662986413260,ok
23,squarefree_6,2,1729,64,"1,1,1,1,1,1","4,4,4,4,4,4",64,23,74,22.259469425245998430510183,1817479099294802,0992948020985871,9.045817412462449250039022e-691,690.043552182625951345815683,ok
23,squarefree_6,3,1729,64,"1,1,1,1,1,1","4,4,4,4,4,4",64,23,75,22.545572763248895456426477,3512147633631896,6336318969054123,1.222487252713136352662373e-699,698.912755660715759149220777,ok
23,smooth_4321,0,1729,64,"4,3,2,1","2,2,3,6",120,23,75,22.502458837290082739492014,3180232249589370,2495893706520457,2.264272019711443738987861e-1328,1327.645071400114881630028852,ok
23,smooth_4321,1,1729,64,"4,3,2,1","2,2,3,6",120,23,77,22.997168030386518774229214,9935003635956841,6359568413170593,1.469217887574299334832278e-1357,1356.832913792804607679523626,ok
23,smooth_4321,2,1729,64,"4,3,2,1","2,2,3,6",120,23,75,22.301470121413095708840390,2002027881359199,8813591991039363,1.634040576106101759700123e-1316,1315.786737163372646821583035,ok
23,smooth_4321,3,1729,64,"4,3,2,1","2,2,3,6",120,23,75,22.566596841146351903748711,3686352328084715,3280847158760327,3.722085733804443183498848e-1332,1331.429213627634762321173955,ok
24,probable_prime,0,1729,64,"1","24",2,24,80,23.786375483950391708550569,6114704638575080,3857508020551341,1,0.000000000000000000000000,ok
24,probable_prime,1,1729,64,"1","24",2,24,80,23.789840894692631634793212,6163691514920051,1492005110324329,1,0.000000000000000000000000,ok
24,probable_prime,2,1729,64,"1","24",2,24,80,23.906367234762738668688280,8060597485961155,8596115523955811,1,0.000000000000000000000000,ok
24,probable_prime,3,1729,64,"1","24",2,24,80,23.993008671059200554785597,9840307525770309,2577030953011493,1,0.000000000000000000000000,ok
24,semiprime_balanced,0,1729,64,"1,1","12,12",4,24,80,23.867678058444768784627632,7373574260249775,6024977576016323,1.356194383761621669335007e-24,23.867678058444768784627632,ok
24,semiprime_balanced,1,1729,64,"1,1","12,12",4,24,77,23.163573507166305868027537,1457382355300662,5530066250960249,6.861617312456736117753302e-24,23.163573507166305868027537,ok
24,semiprime_balanced,2,1729,64,"1,1","12,12",4,24,78,23.461303969634655344560373,2892703823531712,2353171200008897,3.456973340530578678207194e-24,23.461303969634655344560373,ok
24,semiprime_balanced,3,1729,64,"1,1","12,12",4,24,78,23.232577004087043190506095,1708350598226192,9822619244093933,5.853599378478374887015453e-24,23.232577004087043190506095,ok
