band_digits,family,supported,samples_requested,samples_built,d_value,unit_z_count,subunit_z_count,min_neg_log10_z,median_neg_log10_z,max_neg_log10_z,status
14,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
14,semiprime_balanced,true,4,4,4,0,4,13.020528302260935049616819,13.117219450866219432327853,13.820741775145760854570653,ok
14,prime_square,true,4,4,3,0,4,6.545930395065632900752917,6.643217163571248917719458,6.933321789109053945310279,ok
14,prime_cube,true,4,4,4,0,4,13.405529373463263453913896,13.897565056105849023992960,13.935057690128152430020236,ok
14,squarefree_3,true,4,4,8,0,4,39.897036454387865944681835,40.324213789261051488210796,40.866524077165266248812259,ok
14,squarefree_6,true,4,4,64,0,4,404.215826690062726811447646,414.052583555686737781798001,423.306671052908086494426243,ok
14,smooth_4321,true,4,4,120,0,4,782.530840995903986367920879,811.027644222758340220025275,825.375900472606417679344304,ok
15,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
15,semiprime_balanced,true,4,4,4,0,4,14.837759475211408144446068,14.901575420718604192416024,14.965903747608955143277853,ok
15,prime_square,true,4,4,3,0,4,7.064522417275572507833203,7.217800406487532960397857,7.345316454810342676751134,ok
15,prime_cube,true,4,4,4,0,4,14.047274654841151786399678,14.567582267015735553172817,14.884846957137391143533023,ok
15,squarefree_3,true,4,4,8,0,4,42.122701404702688421366474,42.577883612962125425838167,42.603818204298143257346965,ok
15,squarefree_6,true,4,4,64,0,4,451.147038446212491180631332,458.744232645540876092127291,464.305135831540042090637144,ok
15,smooth_4321,true,4,4,120,0,4,848.443364731488031793560367,856.359054314608556524035521,863.415584159247941897774581,ok
16,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
16,semiprime_balanced,true,4,4,4,0,4,15.081160512937602291572148,15.280559853146588267236439,15.903494828176105713168909,ok
16,prime_square,true,4,4,3,0,4,7.834981878006493261068499,7.848500598083425927598000,7.985856015519106065880806,ok
16,prime_cube,true,4,4,4,0,4,15.233313363864166234407094,15.543488050131717415069943,15.899717672688234770816962,ok
16,squarefree_3,true,4,4,8,0,4,45.080814490526279314508429,45.698628906251343551048194,47.600435635070759587961220,ok
16,squarefree_6,true,4,4,64,0,4,474.605327894778667996433796,484.235152173128540198376868,486.744917031006991692265728,ok
16,smooth_4321,true,4,4,120,0,4,886.097191401764348483993672,904.225533032429211743874475,919.876677300221672339830548,ok
17,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
17,semiprime_balanced,true,4,4,4,0,4,16.140303581056610227051351,16.567631536655465396279396,16.696743916890348202741734,ok
17,prime_square,true,4,4,3,0,4,8.042259110344888384247497,8.330643301120668198223029,8.478391996801450503085107,ok
17,prime_cube,true,4,4,4,0,4,16.584238281356327604498802,16.819394972366609408709337,16.908220391959027040229557,ok
17,squarefree_3,true,4,4,8,0,4,48.293360711146284813821694,49.636880815977995951016055,50.948854584709856396784744,ok
17,squarefree_6,true,4,4,64,0,4,496.943889818105105860013282,518.715862612537648601573892,525.775130899875534851162229,ok
17,smooth_4321,true,4,4,120,0,4,951.448037450634387823811267,963.022122995622794405790046,985.509735312171528676117305,ok
18,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
18,semiprime_balanced,true,4,4,4,0,4,17.146798819848008577082510,17.302983520765110370120965,17.619223934129504272050326,ok
18,prime_square,true,4,4,3,0,4,8.663592667059889507186199,8.865574019779428383003506,8.948176841519360991128451,ok
18,prime_cube,true,4,4,4,0,4,17.533653315411605433382647,17.606208454185178879924933,17.838408764627079250431052,ok
18,squarefree_3,true,4,4,8,0,4,51.484527946694761624257808,51.701912979878414944323595,52.168548229355486967051547,ok
18,squarefree_6,true,4,4,64,0,4,527.144992005498920661921147,539.897238603687583236023784,551.755875751541680074296892,ok
18,smooth_4321,true,4,4,120,0,4,1005.003482923712226693169214,1009.780389664630547486012802,1044.450873316107845312217250,ok
19,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
19,semiprime_balanced,true,4,4,4,0,4,18.504336843061153672351793,18.748200041180375308158546,18.835306300827699743649646,ok
19,prime_square,true,4,4,3,0,4,9.056918995010748929530564,9.162114627298050706372123,9.337054995822560599094686,ok
19,prime_cube,true,4,4,4,0,4,18.026759442182662240838908,18.443182313561088392361853,18.998659383212192608425539,ok
19,squarefree_3,true,4,4,8,0,4,54.229041048103745481512306,55.406112556438344540765684,55.870416313966018151404569,ok
19,squarefree_6,true,4,4,64,0,4,560.519370610136434152082074,565.796378858364050756790675,574.316223056321064177609514,ok
19,smooth_4321,true,4,4,120,0,4,1091.792973340081516653299332,1098.631516668468975694850087,1105.961099099717102944850922,ok
20,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
20,semiprime_balanced,true,4,4,4,0,4,19.429503579566972604197872,19.629249057780249643201387,19.675695233954051843738853,ok
20,prime_square,true,4,4,3,0,4,9.564190478338650436285207,9.734618176826780100441283,9.991745938909941671113302,ok
20,prime_cube,true,4,4,4,0,4,19.047681590741120771781425,19.167832621393866787684601,19.662119561537000578255174,ok
20,squarefree_3,true,4,4,8,0,4,59.369632777412242319314828,59.562326395827476233080233,59.858731226644358969224413,ok
20,squarefree_6,true,4,4,64,0,4,598.943818721771322088898160,601.409543430204848846187815,619.876827031163088577159215,ok
20,smooth_4321,true,4,4,120,0,4,1137.568490164087506855139509,1169.848807222037521569291130,1178.431130415622646978590637,ok
21,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
21,semiprime_balanced,true,4,4,4,0,4,20.550172650183235134591087,20.826802963975630689219543,20.967529776583024414549072,ok
21,prime_square,true,4,4,3,0,4,10.066693395510583286522888,10.242123360577814139560360,10.471990700603210910912821,ok
21,prime_cube,true,4,4,4,0,4,20.280104967884110322984270,20.514968731738175478085395,20.627142028238587556643324,ok
21,squarefree_3,true,4,4,8,0,4,60.702446424131359492548654,61.648743409622753119947447,62.440149794642572089742316,ok
21,squarefree_6,true,4,4,64,0,4,638.931194159797996690031141,646.266225496262904925970361,648.554737585937004951119889,ok
21,smooth_4321,true,4,4,120,0,4,1197.445438199623822583816946,1217.796098892311420058831573,1231.509610952677121531451121,ok
22,probable_prime,true,4,4,2,4,0,0.000000000000000000000000,0.000000000000000000000000,0.000000000000000000000000,ok
22,semiprime_balanced,true,4,4,4,0,4,21.177318870592870325708645,21.530323063504297920189856,21.561976095161774935604626,ok
