band_digits,family,sample_index,probable_prime_reps,exponent_vector,factor_digit_lengths,d_value,n_digits,n_bits,n_log10,leading16,trailing16,z_sci,neg_log10_z,status
11,probable_prime,1,64,"1","11",2,11,34,10.000000000825159514832277,10000000019,10000000019,1,0.000000000000000000000000,ok
11,probable_prime,2,64,"1","11",2,11,34,10.000000000825159514832277,10000000019,10000000019,1,0.000000000000000000000000,ok
11,probable_prime,3,64,"1","11",2,11,34,10.000000000825159514832277,10000000019,10000000019,1,0.000000000000000000000000,ok
11,semiprime_balanced,0,64,"1,1","6,6",4,11,34,10.000095536752567509232053,10002200057,10002200057,9.997800426918615471160237e-11,10.000095536752567509232053,ok
11,semiprime_balanced,1,64,"1,1","6,6",4,11,34,10.000095536752567509232053,10002200057,10002200057,9.997800426918615471160237e-11,10.000095536752567509232053,ok
11,semiprime_balanced,2,64,"1,1","6,6",4,11,34,10.000095536752567509232053,10002200057,10002200057,9.997800426918615471160237e-11,10.000095536752567509232053,ok
11,semiprime_balanced,3,64,"1,1","6,6",4,11,34,10.000095536752567509232053,10002200057,10002200057,9.997800426918615471160237e-11,10.000095536752567509232053,ok
11,prime_square,0,64,"2","6",3,11,34,10.000026057278056978521522,10000600009,10000600009,9.999700008999730008099757e-6,5.000013028639028489260761,ok
11,prime_square,1,64,"2","6",3,11,34,10.000026057278056978521522,10000600009,10000600009,9.999700008999730008099757e-6,5.000013028639028489260761,ok
11,prime_square,2,64,"2","6",3,11,34,10.000026057278056978521522,10000600009,10000600009,9.999700008999730008099757e-6,5.000013028639028489260761,ok
11,prime_square,3,64,"2","6",3,11,34,10.000026057278056978521522,10000600009,10000600009,9.999700008999730008099757e-6,5.000013028639028489260761,ok
11,prime_cube,0,64,"3","4",4,11,34,10.003964300649723996091389,10091699281,10091699281,9.909133954107564929926493e-11,10.003964300649723996091389,ok
11,prime_cube,1,64,"3","4",4,11,34,10.003964300649723996091389,10091699281,10091699281,9.909133954107564929926493e-11,10.003964300649723996091389,ok
11,prime_cube,2,64,"3","4",4,11,34,10.003964300649723996091389,10091699281,10091699281,9.909133954107564929926493e-11,10.003964300649723996091389,ok
11,prime_cube,3,64,"3","4",4,11,34,10.003964300649723996091389,10091699281,10091699281,9.909133954107564929926493e-11,10.003964300649723996091389,ok
11,squarefree_3,0,64,"1,1,1","4,4,4",8,11,34,10.000150199916045359970793,10003459079,10003459079,9.989629937999796677838312e-31,30.000450599748136079912379,ok
11,squarefree_3,1,64,"1,1,1","4,4,4",8,11,34,10.000150199916045359970793,10003459079,10003459079,9.989629937999796677838312e-31,30.000450599748136079912379,ok
11,squarefree_3,2,64,"1,1,1","4,4,4",8,11,34,10.000150199916045359970793,10003459079,10003459079,9.989629937999796677838312e-31,30.000450599748136079912379,ok
11,squarefree_3,3,64,"1,1,1","4,4,4",8,11,34,10.000150199916045359970793,10003459079,10003459079,9.989629937999796677838312e-31,30.000450599748136079912379,ok
